Ozzy,64,Gigante,L,Jugueton
Jack,39,Pequeño,O,Travieso
Ginger,42,Grande,G,Sociable
Pepper,37,Diminuto,G,Sociable
Addy,35,Pequeño,G,Jugueton
Rustie,90,Gigante,O,Dormilon
Lady,24,Grande,P,Sociable
Emily,71,Pequeño,P,Sociable
Pancho,94,Grande,R,Dormilon
Sampson,7,Diminuto,P,Dormilon
Buddy,56,Gigante,L,Travieso
Hitler,86,Diminuto,P,Jugueton
Oscar,2,Diminuto,R,Travieso
Liame,52,Diminuto,L,Travieso
Hunter,16,Mediano,L,Sociable
Finigan,59,Diminuto,P,Jugueton
Holly,6,Pequeño,R,Travieso
Romeo,100,Pequeño,P,Travieso
Franklin tucker,50,Pequeño,G,Travieso
Shelby,95,Pequeño,C,Sociable
Calvin,81,Pequeño,E,Sociable
Zoey,52,Pequeño,R,Travieso
Nugget,89,Diminuto,R,Dormilon
Big guy,94,Gigante,G,Dormilon
Akaiya,34,Pequeño,P,Sociable
Petey,60,Pequeño,E,Dormilon
Kane,8,Grande,E,Sociable
Tyson,45,Diminuto,G,Sociable
Buttercup,50,Gigante,L,Travieso
Jenkey,85,Gigante,L,Sociable
Skyler,0,Grande,L,Jugueton
Velvet,74,Diminuto,P,Sociable
Mulan,88,Diminuto,C,Travieso
Mac,16,Gigante,P,Sociable
Wafer,11,Grande,G,Travieso
Zest,13,Grande,O,Dormilon
Rambo,10,Mediano,E,Jugueton
Vegas,13,Diminuto,G,Dormilon
Charlie,18,Pequeño,C,Sociable
Puck,79,Pequeño,E,Travieso
Mister kitty,95,Pequeño,L,Travieso
Pete,18,Gigante,L,Jugueton
Spencer,32,Diminuto,E,Jugueton
Diana,20,Gigante,G,Jugueton
Cooper,13,Grande,C,Jugueton
Midnight,65,Mediano,O,Dormilon
Fancy,23,Gigante,P,Dormilon
Blackie,28,Gigante,O,Jugueton
Jake,72,Pequeño,P,Travieso
Blue,62,Grande,G,Sociable
Grey fox,61,Mediano,E,Dormilon
Sally,37,Grande,G,Dormilon
Wyle,1,Mediano,E,Jugueton
Scout,8,Diminuto,P,Jugueton
Zuma,72,Gigante,E,Dormilon
Milo,25,Diminuto,C,Jugueton
Suki,7,Mediano,P,Jugueton
Dotti,28,Grande,P,Dormilon
Growler,7,Mediano,O,Travieso
Lakein,14,Diminuto,G,Sociable
Tessa love,45,Mediano,C,Jugueton
Sebastian,39,Gigante,R,Jugueton
Coos,54,Gigante,L,Sociable
Opal,25,Diminuto,L,Dormilon
Harley,18,Gigante,C,Travieso
Walter,12,Mediano,O,Dormilon
Lilly,49,Pequeño,O,Dormilon
Johnny depp,77,Diminuto,L,Jugueton
Meijo,82,Gigante,L,Jugueton
Jasmine,22,Diminuto,P,Dormilon
Shelby food,5,Grande,O,Dormilon
Molly,59,Gigante,P,Jugueton
Karma,7,Diminuto,E,Jugueton
Puppy,14,Diminuto,G,Jugueton
Dekeoi,72,Pequeño,O,Jugueton
Quill,50,Gigante,P,Jugueton
Happy,41,Pequeño,G,Dormilon
Suzie,60,Gigante,E,Travieso
Ella,73,Grande,L,Travieso
Consuela,37,Grande,O,Dormilon
Cappi,54,Gigante,R,Jugueton
Nigel,17,Diminuto,G,Sociable
Amelia b. aircat,34,Mediano,C,Travieso
Mickie,51,Mediano,E,Jugueton
Marley,75,Grande,P,Jugueton
Sadie,100,Gigante,E,Sociable
Buddy love,20,Grande,E,Jugueton
Po chi,41,Grande,G,Travieso
Skwee,90,Pequeño,G,Travieso
Foster,68,Pequeño,O,Jugueton
Kitty,72,Pequeño,L,Sociable
Bernie,69,Mediano,G,Sociable
Mac sa million,81,Pequeño,E,Travieso
Snow white,5,Gigante,G,Dormilon
Indie,95,Grande,R,Sociable
Hero,97,Gigante,C,Jugueton
Moose,14,Mediano,L,Sociable
Missy,42,Diminuto,O,Dormilon
Danny,86,Pequeño,E,Jugueton
Danna,86,Pequeño,E,Jugueton
